G/L Acct External ID;G/L Account Long Text;G/L Account Type;FS Item;FS Item Name;Financial Statement Line Item;Account Grouping
65103000;Equipment Outfitting;Primary Costs or Revenue;560700;Supplies Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Supplies Expense
65104000;Supplies - Trailer Tires New;Primary Costs or Revenue;560700;Supplies Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Supplies Expense
65105000;Supplies - Driver Supplies;Primary Costs or Revenue;560700;Supplies Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Supplies Expense
65150000;Computer Supplies;Primary Costs or Revenue;560700;Supplies Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Supplies Expense
65160000;Supplies - Royalties;Primary Costs or Revenue;560700;Supplies Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Supplies Expense
65200000;Other Supplies;Primary Costs or Revenue;560700;Supplies Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Supplies Expense
65210000;Supplies - Association Dues;Primary Costs or Revenue;560700;Supplies Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Supplies Expense
65211000;Supplies - Association Dues - Non Deductible;Primary Costs or Revenue;560700;Supplies Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Supplies Expense
65220000;Supplies - Janitorial;Primary Costs or Revenue;560700;Supplies Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Supplies Expense
65230000;Supplies - Small Tools;Primary Costs or Revenue;560700;Supplies Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Supplies Expense
65240000;Supplies - Operating;Primary Costs or Revenue;560700;Supplies Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Supplies Expense
65250000;Supplies - Environmental;Primary Costs or Revenue;560700;Supplies Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Supplies Expense
65260000;Supplies - Laboratory;Primary Costs or Revenue;560700;Supplies Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Supplies Expense
65270000;Supplies - Miscellaneous;Primary Costs or Revenue;560700;Supplies Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Supplies Expense
65280000;Supplies - Inventory W/O Adjustments;Primary Costs or Revenue;560700;Supplies Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Supplies Expense
65290000;Supplies - Claims Settlement;Primary Costs or Revenue;560700;Supplies Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Supplies Expense
65300000;Contract Services - Audit;Primary Costs or Revenue;560200;Outside Services;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Outside Services
65301000;Marketing Expenses;Primary Costs or Revenue;561200;Other expenses;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Other Operating Expenses 
65301050;Business Promotion - Non Deductible;Primary Costs or Revenue;561200;Other expenses;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Other Operating Expenses 
65301100;Contract Services - Legal;Primary Costs or Revenue;560200;Outside Services;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Outside Services
65301200;Contract Services - Professional Consulting;Primary Costs or Revenue;560200;Outside Services;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Outside Services
65301300;Contract Services - Outside Services;Primary Costs or Revenue;560200;Outside Services;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Outside Services
65301400;Contract Services - Contractors;Primary Costs or Revenue;560200;Outside Services;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Outside Services
65301500;Contract Services - Accounting Services;Primary Costs or Revenue;560200;Outside Services;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Outside Services
65301600;Contract Services - Inspection Fee;Primary Costs or Revenue;560200;Outside Services;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Outside Services
65301700;Contract Services -Mechanical Integrity Inspection;Primary Costs or Revenue;560200;Outside Services;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Outside Services
65301800;Contract Services - Safety;Primary Costs or Revenue;560200;Outside Services;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Outside Services
65301900;Contract Services - Security;Primary Costs or Revenue;560200;Outside Services;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Outside Services
65302000;Contract Services - Medical Tests & Physicals;Primary Costs or Revenue;560200;Outside Services;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Outside Services
65302100;Contract Services - Payroll Processing;Primary Costs or Revenue;560200;Outside Services;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Outside Services
65302200;Contract Services - Other;Primary Costs or Revenue;560200;Outside Services;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Outside Services
